Location,temperature,humidity,ph,rainfall,label,price,Price_Date
Yercaud,20.87974371,82.00274423,6.502985292,202.9355362,rice,210,30-Apr-11
Vriddhachalam,21.77046169,80.31964408,7.038096361,226.6555374,rice,45,01-May-11
Virugambakkam,23.00445915,82.3207629,7.840207144,263.9642476,rice,70,02-May-11
Virudhunagar,26.49109635,80.15836264,6.980400905,242.8640342,rice,18,03-May-11
Viralimalai,20.13017482,81.60487287,7.628472891,242.8640342,rice,37,04-May-11
Villupuram,23.05804872,83.37011772,7.073453503,251.0549998,rice,24,05-May-11
Villivakkam,22.70883798,82.63941394,5.70080568,271.3248604,rice,17,06-May-11
Vilavancode,20.27774362,82.63941394,5.718627178,241.9741949,rice,35,07-May-11
Vilathikulam,24.51588066,83.5352163,6.685346424,230.4462359,rice,190,08-May-11
Vikravandi,23.22397386,83.03322691,6.336253525,221.2091958,rice,285,09-May-11
Veppanahalli,26.52723513,81.41753846,5.386167788,264.6148697,rice,673,10-May-11
Vellore,23.97898217,81.45061596,7.50283396,250.0832336,rice,703,11-May-11
Velachery,26.80079604,80.88684822,5.108681786,284.4364567,rice,836,12-May-11
Veerapandi,24.01497622,82.05687182,6.98435366,185.2773389,rice,722,13-May-11
Vedasandur,25.66585205,80.66385045,6.94801983,209.5869708,rice,856,14-May-11
Vedaranyam,24.28209415,80.30025587,7.042299069,231.0863347,rice,1070,15-May-11
Vasudevanallur,6.323969079,82.7883708,6.249050656,276.6552459,rice,995,16-May-11
Vanur,23.79391957,80.41817957,6.970859754,206.2611855,rice,1227,17-May-11
Vaniyambadi,21.8652524,80.1923008,5.953933276,6.323969079,rice,1553,18-May-11
Vandavasi,23.57943626,83.58760316,5.85393208,291.2986618,rice,1354,19-May-11
Valparai,21.32504158,80.47476396,6.442475375,185.4974732,rice,869,20-May-11
Uthiramerur,25.15745531,83.11713476,5.070175667,231.3843163,rice,778,21-May-11
Uthangarai,21.94766735,80.97384195,6.012632591,213.3560921,rice,1096,22-May-11
Usilampatti,21.0525355,82.67839517,6.254028451,233.1075816,rice,944,23-May-11
Ulundurpettai,23.48381344,81.33265073,7.375482851,224.0581164,rice,444,24-May-11
Udumalaipettai,25.0756354,80.52389148,7.778915154,257.0038865,rice,228,25-May-11
Udhagamandalam,26.35927159,84.04403589,6.286500176,271.3586137,rice,246,26-May-11
Tittakudi,24.52922681,80.54498576,7.070959995,260.2634026,rice,109,27-May-11
Tiruvannamalai,20.77576147,84.49774397,6.244841491,240.0810647,rice,110,28-May-11
Tiruvaikuntam,22.30157427,80.64416466,6.043304899,197.9791215,rice,72,29-May-11
Tiruvadanai,21.44653958,84.94375962,5.824709117,272.2017204,rice,44,30-May-11
Tiruttani,22.17931888,80.33127223,6.357389366,200.0882787,rice,194,31-May-11
Tiruppur (South),24.52783742,82.73685569,6.364134968,224.6757231,rice,504,01-Jun-11
Tiruppur (North),20.26707606,81.63895217,5.01450727,270.4417274,rice,890,02-Jun-11
"Tiruppattur, Sivaganga",25.7354293,83.88266234,6.149410611,233.1321372,rice,1010,03-Jun-11
"Tirupattur, Vellore",26.79533926,82.1480873,5.950660556,193.3473987,rice,1099,04-Jun-11
Tirunelveli,26.75754171,81.17734011,5.960370061,272.2999056,rice,1149,05-Jun-11
Tirumangalam,23.86330467,83.15250801,5.561398642,285.2493645,rice,987,06-Jun-11
Tirukkoyilur,21.01944696,82.95221726,7.416245107,298.4018471,rice,1118,07-Jun-11
Tiruchuli,24.17298839,83.7287574,5.583370042,257.0343554,rice,848,08-Jun-11
Tiruchirappalli (West),22.78133816,82.06719137,6.430010215,248.7183228,rice,1253,09-Jun-11
Tiruchirappalli (East),25.62980105,83.52842314,5.534878156,209.9001977,rice,1194,10-Jun-11
Tiruchengodu,25.59704938,80.14509262,6.903985986,200.834898,rice,1214,11-Jun-11
Tiruchendur,23.83067496,84.81360127,6.271478838,298.5601175,rice,812,12-Jun-11
Tindivanam,26.31355498,82.36698992,7.224285503,265.5355937,rice,518,13-Jun-11
Thuraiyur,24.8972823,80.52586088,6.13428721,183.6793207,rice,435,14-Jun-11
Thousand Lights,24.958779,84.47963372,5.206373153,196.9560008,rice,341,15-Jun-11
Thoothukudi,23.24113501,84.59201843,7.782051313,233.0453455,rice,241,16-Jun-11
Thondamuthur,21.66628296,80.70960551,6.323969079,210.8142087,rice,149,17-Jun-11
Thiruvottiyur,24.63544858,80.41363018,7.730367824,253.7202781,rice,115,18-Jun-11
Thiruvidaimarudur,23.43121862,83.06310136,5.286203711,219.9048349,rice,51,19-Jun-11
Thiruverumbur,20.0454142,80.3477562,6.766240045,208.5810155,rice,32,20-Jun-11
Thiruvarur,23.85724032,82.22572988,7.382762603,195.0948311,rice,13,21-Jun-11
Thiruvallur,21.97199397,81.89918197,5.658169482,227.3637009,rice,17,22-Jun-11
Thiruvaiyaru,26.22916897,83.83625819,5.543360238,286.5083725,rice,33,23-Jun-11
Thiruthuraipoondi,23.44676801,84.79352417,6.215109715,283.9338466,rice,56,24-Jun-11
Thiruporur,25.65553461,83.47021081,7.120272972,217.3788583,rice,63,25-Jun-11
Thiruparankundram,6.323969079,82.45432595,5.950647577,267.9761948,rice,135,26-Jun-11
Thirumayam,20.2801937,82.1235421,7.236705436,191.9535738,rice,282,27-Jun-11
Thiru. Vi. Ka. Nagar,21.7238313,80.2389895,7.236705436,277.9626192,rice,467,28-Jun-11
Thanjavur,20.41447029,82.20802629,7.592490617,245.1511304,rice,845,29-Jun-11
Thalli,25.75528612,83.51827127,5.875345751,245.6626799,rice,884,30-Jun-11
Tenkasi,20.61521424,83.77345559,6.932400225,279.5451717,rice,969,01-Jul-11
Tambaram,6.323969079,80.72886384,6.946209881,202.3838319,rice,1176,02-Jul-11
T. Nagar,20.08369642,83.29114712,5.739175027,263.6372176,rice,1125,03-Jul-11
Sulur,24.45802087,82.74835604,6.738652179,182.5616319,rice,1087,04-Jul-11
Srivilliputhur,21.14347496,80.33502926,5.594819626,198.6730942,rice,1094,05-Jul-11
Srirangam,25.78720567,82.11124033,6.946636369,243.5120414,rice,928,06-Jul-11
Sriperumbudur,23.64124821,80.28597873,5.012139669,6.323969079,rice,1111,07-Jul-11
Sivakasi,23.43191632,80.56887849,6.363472208,269.5039162,rice,980,08-Jul-11
Sivaganga,24.97669518,83.891805,6.880431223,204.8001847,rice,1029,09-Jul-11
Sirkazhi,22.72791041,82.1706881,7.300410836,260.8875056,rice,1217,10-Jul-11
Singanallur,24.87300744,82.84022551,6.587918708,295.6094492,rice,729,11-Jul-11
Sholingur,21.32376327,82.63941394,7.283736617,192.3197536,rice,350,12-Jul-11
Sholinganallur,26.29465461,84.56919326,7.023936392,257.4914906,rice,172,13-Jul-11
Sholavandan,22.2286982,81.85872947,6.939083505,278.0791793,rice,80,14-Jul-11
Senthamangalam,26.73072391,81.78596776,7.868474653,280.4044392,rice,26,15-Jul-11
Sattur,24.88921174,81.97927117,5.005306977,185.9461429,rice,96,16-Jul-11
Sankarapuram,26.88444878,81.46033732,6.136131869,194.5766559,rice,97,17-Jul-11
Sankarankovil,22.67846116,83.72874389,7.524080076,200.9133156,rice,133,18-Jul-11
Sankagiri,26.08867875,80.37979919,5.706943251,182.9043504,rice,320,19-Jul-11
Salem (West),25.42977518,82.94682591,5.758506323,195.3574542,rice,528,20-Jul-11
Salem (South),26.40323239,81.05635517,6.349606327,223.3671883,rice,591,21-Jul-11
